IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.155.90,4,4,0.00,372.15,0.00,LHR
172.67.210.232,4,4,0.00,372.15,0.00,LHR
172.67.109.20,4,4,0.00,372.27,0.00,LHR
172.67.196.210,4,4,0.00,372.28,0.00,LHR
172.67.145.247,4,4,0.00,372.33,0.00,LHR
172.66.152.169,4,4,0.00,372.36,0.00,LHR
172.66.0.15,4,4,0.00,372.43,0.00,LHR
172.67.121.228,4,4,0.00,372.49,0.00,LHR
172.65.41.119,4,4,0.00,372.54,0.00,LHR
172.67.187.52,4,4,0.00,372.62,0.00,LHR
172.67.171.10,4,4,0.00,372.63,0.00,LHR
104.25.119.99,4,4,0.00,372.64,0.00,LHR
172.66.149.7,4,4,0.00,372.68,0.00,LHR
172.66.135.96,4,4,0.00,372.71,0.00,LHR
172.64.144.188,4,4,0.00,372.73,0.00,LHR
172.65.44.93,4,4,0.00,372.76,0.00,LHR
172.64.154.11,4,4,0.00,372.80,0.00,LHR
104.24.163.201,4,4,0.00,372.95,0.00,LHR
172.67.181.140,4,4,0.00,372.98,0.00,LHR
104.24.173.79,4,4,0.00,373.03,0.00,LHR
172.67.228.22,4,4,0.00,373.03,0.00,LHR
172.64.68.163,4,4,0.00,373.13,0.00,LHR
172.67.184.40,4,4,0.00,373.17,0.00,LHR
172.67.85.9,4,4,0.00,373.23,0.00,LHR
172.67.149.253,4,4,0.00,373.24,0.00,LHR
172.66.200.176,4,4,0.00,373.32,0.00,LHR
104.25.25.16,4,4,0.00,373.33,0.00,LHR
172.67.182.218,4,4,0.00,373.41,0.00,LHR
172.67.128.232,4,4,0.00,373.55,0.00,LHR
172.67.115.253,4,4,0.00,373.59,0.00,LHR
172.67.143.156,4,4,0.00,373.62,0.00,LHR
172.67.186.246,4,4,0.00,373.74,0.00,LHR
172.67.235.78,4,4,0.00,373.78,0.00,LHR
172.67.212.245,4,4,0.00,373.89,0.00,LHR
104.25.148.66,4,4,0.00,373.92,0.00,LHR
172.67.117.248,4,4,0.00,373.94,0.00,LHR
172.67.246.228,4,4,0.00,374.00,0.00,LHR
172.67.120.51,4,4,0.00,374.25,0.00,LHR
172.67.250.33,4,4,0.00,374.27,0.00,LHR
104.24.247.159,4,4,0.00,374.57,0.00,LHR
172.67.189.113,4,4,0.00,374.63,0.00,LHR
172.67.220.178,4,4,0.00,374.68,0.00,LHR
172.67.230.84,4,4,0.00,374.72,0.00,LHR
172.65.63.55,4,4,0.00,374.74,0.00,LHR
104.29.126.201,4,4,0.00,374.90,0.00,LHR
172.64.48.246,4,4,0.00,375.06,0.00,LHR
172.64.93.149,4,4,0.00,375.15,0.00,LHR
172.67.176.116,4,4,0.00,375.18,0.00,LHR
172.65.250.133,4,4,0.00,375.25,0.00,LHR
172.67.195.24,4,4,0.00,375.28,0.00,LHR
172.67.173.92,4,4,0.00,375.32,0.00,LHR
172.64.41.235,4,4,0.00,375.38,0.00,LHR
172.67.89.113,4,4,0.00,375.41,0.00,LHR
172.66.192.173,4,4,0.00,375.45,0.00,LHR
104.18.24.105,4,4,0.00,375.49,0.00,LHR
172.66.41.160,4,4,0.00,375.55,0.00,LHR
172.67.148.219,4,4,0.00,375.81,0.00,LHR
172.65.60.132,4,4,0.00,375.84,0.00,LHR
172.64.86.171,4,4,0.00,375.95,0.00,LHR
172.66.146.206,4,4,0.00,375.97,0.00,LHR
172.66.144.79,4,4,0.00,375.97,0.00,LHR
172.67.207.214,4,4,0.00,376.01,0.00,LHR
172.64.82.141,4,4,0.00,376.03,0.00,LHR
104.24.63.149,4,4,0.00,376.03,0.00,LHR
172.64.89.47,4,4,0.00,376.11,0.00,LHR
172.64.229.31,4,4,0.00,376.21,0.00,LHR
172.65.200.102,4,4,0.00,376.37,0.00,LHR
172.65.38.2,4,4,0.00,376.38,0.00,LHR
172.67.151.87,4,4,0.00,376.44,0.00,LHR
172.67.251.191,4,4,0.00,376.46,0.00,LHR
172.67.211.143,4,4,0.00,376.47,0.00,LHR
172.67.126.72,4,4,0.00,376.48,0.00,LHR
104.24.151.144,4,4,0.00,376.48,0.00,LHR
